count_commentators,count_editions,count_bibentries,count_lines,html
3,1,1,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent""><a href=""#b_ritj0001"" class=""ref bibl"">Ritson</a> (in <a href=""#s_v1793"" class=""ref witness"">Steevens</a>, ed. 1793, 7:209): This comedy though boasting the embellishments of our author&rsquo;s genius, in additional words, lines, speeches, and scenes, was not originally his, but proceeded from some inferior playwright, who was capable of reading the <i>Men&aelig;chmi</i>.</p>"
2,1,0,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent""><a href=""#s_v1793"" class=""ref witness"">Steevens</a> (ed. 1793, 7:316): On a careful revision of the foregoing scenes [he apparently refers to the whole play], I do not hesitate to pronounce them the composition of two very unequal writers. Shakspeare had undoubtedly a share in them; but that the entire play was no work of his, is an opinion which (as Benedick says): fire cannot melt out of me; I will die in it at the stake.</p>"
3,2,1,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent""><a href=""#s_v1821"" class=""ref witness"">Boswell</a> (ed. 1821, 1:15), transcribing <a href=""#s_pope1"" class=""ref witness"">Pope</a>&rsquo;s preface (ed. 1725, 1:xx): And I should conjecture of some of the others (particularly Love&rsquo;s Labour&rsquo;s Lost, The Winter&rsquo;s Tale, Comedy of Errors, and Titus Andronicus,) that only some characters, single scenes, or perhaps a few particular passages, were of his hand. Pope does not include <i>Err.</i>; whether it was added by <a href=""#b_male0001"" class=""ref bibl"">Malone</a> or Boswell is not known.</p>"
2,1,1,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">This mistake is noted by <a href=""#b_eict1903"" class=""ref bibl"">Eichhoff</a> (1903, p. 32 n.), who, however, accepts <a href=""#s_pope1"" class=""ref witness"">Pope</a>&rsquo;s notion that all the plays printed in F suffer from an accretion of actors&rsquo; additions to the playhouse manuscripts over a period of years. Thus Pope accounts for much of what he thought was unworthy of Sh. Eichhoff attempts to locate and account for all such interpolations in <i>Err.</i> He ascribes 366 lines to this or these interpolators, including much of the low comedy of the Dromios and all the Courtesan&rsquo;s lines, as having been added to please the populace. It is, for example, unthinkable that distinguished citizens such as Adriana and the Duke would be seen talking to a prostitute in the streets.</p>"
5,1,3,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">Other critics who believe that Sh. adapted an earlier play include <a href=""#b_olie1908"" class=""ref bibl"">Oliphant</a> (1909, p. 349); <a href=""#s_cam3a"" class=""ref witness"">Wilson</a> (ed. 1922, p. 77; withdrawn ed. 1962, p. 65); and <a href=""#b_robj1923"" class=""ref bibl"">Robertson</a> (1923, p. 127), who writes: That any one should ever have seen a Shakespearean touch in any of it is a monition to us of the difficulty which faces every attempt to modify the temper of traditionism [he thinks Marlowe wrote the blank verse sections of <i>Err.</i>]; and <a href=""#b_gawa1926a"" class=""ref bibl"">Gaw</a> ( &ldquo;Evolution,&rdquo; 1926), who thinks that Kyd was responsible for part of the play and that Sh. wrote the Luciana sections.</p>"
6,0,5,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">The following anti-Stratfordians attribute <i>Err.</i> to various figures: <a href=""#b_ther1901"" class=""ref bibl"">Theobald</a> (1901, passim) to Bacon; <a href=""#b_stoj1904"" class=""ref bibl"">Stotsenburg</a> (1904, pp. 474&ndash;7) to Dekker; <a href=""#b_hofc1955"" class=""ref bibl"">Hoffman</a> (1955, p. 266) to Marlowe; the <a href=""#b_ogbd1962"" class=""ref bibl"">Ogburns</a> (1962, pp. 250, 257) to Oxford; <a href=""#b_sweg1965"" class=""ref bibl"">Sweet</a> (1965, p. 95) to Queen Elizabeth.</p>"
1,0,1,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">(In <a href=""#b_grew1955"" class=""ref bibl"">Greg</a> [1955, p. 59]; Doctor Thomas Worrall was one of the Bishop of London&rsquo;s censors. Greg prints a facsimile as the frontispiece to <i>A Bibliography of the English Printed Drama to the Restoration</i>, vol. 1, 1939.)</p>"
2,1,0,0,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent"">Compositor B set pages 92&ndash;93, TLNs 875&ndash;1127; 95&ndash;100, TLNs 1255&ndash;1919. No quarto is known. It is the fifth of the comedies. The first four were printed from transcripts made by Ralph Crane, and the next four, <i>Ado</i>, <i>LLL</i>, <i>MND</i>, and <i>MV</i> were printed from quarto copy. Since <i>Err.</i> was probably printed from Sh.&rsquo;s foul papers (argued in detail below), Jaggard&rsquo;s compositors encountered Sh.&rsquo;s handwriting for the first time in setting <i>Err.</i>, which may account for some of the mistakes in the text. <a href=""#s_cam3a"" class=""ref witness"">Wilson</a> (ed. 1922, p. 65) raises the question of whether F1 was set from a quarto because he finds no instances of what he thinks were characteristic Shn. spellings, which would, he says, have been smoothed out by earlier compositors, but he dismisses the possibility in favor of his theory that copy for F involved dictation and annotation (see below). The folios of 1632, 1663&ndash;4, and 1685 copied each other in succession without recourse to other printed or manuscript copy.</p>"
1,0,1,3,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent""><a href=""#b_hinc1963"" class=""ref bibl"">Hinman</a> (1963, 1:257&ndash;8): H5<sup>v</sup> (page 94, <i>Comedy of Errors</i>)&mdash;three variants; H2 is invariant. <p class=""noindent""><h4>1. a21</h4> lans:] 4 copies (Folg. 43, 64, 68, and 79) [TLN <a href=""#tln_1147"" class=""ref lb"">1147</a>] <br></br><h4>1. a21</h4> lands:] all others; also Lee and Yale <br></br><h4>2. a59</h4> <i>Siracusian.</i> [TLN <a href=""#tln_1183"" class=""ref lb"">1183</a>] <br></br><h4>2. a59</h4> <i>Siracusia.</i> <br></br><h4>3. b33</h4> delay [TLN <a href=""#tln_1222"" class=""ref lb"">1222</a>] <br></br><h4>3. b33</h4> <i>Delay</i></p> <i>Note.</i> Although H5<sup>v</sup> is the only page in its quire which has been found to reflect proof-correction, we should perhaps notice that the e of reason [<i>258</i>] in H4b32 sometimes stands so high as not to allow the r and the a to print; and that in some copies, on the other hand, the word is evenly printed..&nbsp;.&nbsp;. In the present instance (in page H4, that is) we find that many copies show something <i>between</i> a strikingly imperfect impression and an altogether even one. Hence, therefore, we cannot suppose stop-press correction.</p>"
1,0,1,1,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""noindent""><a href=""#b_werp1978b"" class=""ref bibl"">Werstine</a> ( &ldquo;Unrecorded Variant,&rdquo; 1978, pp. 329&ndash;30): H2<sup>v</sup>b11 it so? you] Folg. 64, 79 [TLN <a href=""#tln_0430"" class=""ref lb"">430</a>] it? so you] all other Folg. copies Evidence of type batter indicates that the first reading listed is the uncorrected state. In variant copies 64 and 79 [imperfect copies of F not collated by <a href=""#b_hinc1963"" class=""ref bibl"">Hinman</a>] and in four other copies (16, 43, 56, 68), the h of the in H2<sup>v</sup>b63 is undamaged, but in all other copies it is damaged. Clearly then copies 64 and 79 were among the first copies of H2<sup>v</sup>:5 to be printed and they preserve the earlier, uncorrected state of the forme. Proofreading of H2<sup>v</sup> must have been unusually prompt, for only two of eighty-two Folger copies of the page show the uncorrected state..&nbsp;.&nbsp;. </p>"
