n,count_commentators,count_lines,text
4,5,2,"<dl><dt><span class=""line"" id=""tln_0004-speech"">Marchant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0005"">Proceed Solinus to procure my fall, </span><span class=""line"" id=""tln_0006"">And by the doome of death end woes and all.</span></p></dd></dl>"
7,25,22,"<dl><dt><span class=""line"" id=""tln_0007-speech"">Duke.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0007"">Merchant of Siracusa, plead no more. </span><span class=""line"" id=""tln_0008"">I am not partiall to infringe our Lawes; </span><span class=""line"" id=""tln_0009"">The enmity and discord which of late </span><span class=""line"" id=""tln_0010"">Sprung from the rancorous outrage of your Duke, </span><span class=""line"" id=""tln_0011"">To Merchants our well-dealing Countrimen, </span><span class=""line"" id=""tln_0012"">Who wanting gilders to redeeme their liues, </span><span class=""line"" id=""tln_0013"">Haue seal&rsquo;d his rigorous statutes with their blouds, </span><span class=""line"" id=""tln_0014"">Excludes all pitty from our threatning lookes: </span><span class=""line"" id=""tln_0015"">For since the mortall and intestine iarres </span><span class=""line"" id=""tln_0016"">Twixt thy seditious Countrimen and vs, </span><span class=""line"" id=""tln_0017"">It hath in solemne Synodes beene decreed, </span><span class=""line"" id=""tln_0018"">Both by the Siracusians and our selues, </span><span class=""line"" id=""tln_0019"">To admit no trafficke to our aduerse townes: </span><span class=""line"" id=""tln_0020"">Nay more, if any borne at Ephesus </span><span class=""line"" id=""tln_0021"">Be seene at any Siracusian Marts and Fayres: </span><span class=""line"" id=""tln_0022"">Againe, if any Siracusian borne </span><span class=""line"" id=""tln_0023"">Come to the Bay of Ephesus, he dies: </span><span class=""line"" id=""tln_0024"">His goods confiscate to the Dukes dispose, </span><span class=""line"" id=""tln_0025"">Vnlesse a thousand markes be leuied </span><span class=""line"" id=""tln_0026"">To quit the penalty, and to ransome him: </span><span class=""line"" id=""tln_0027"">Thy substance, valued at the highest rate, </span><span class=""line"" id=""tln_0028"">Cannot amount vnto a hundred Markes, </span><span class=""line"" id=""tln_0029"">Therefore by Law thou art condemn&rsquo;d to die.</span></p></dd></dl>"
30,6,1,"<dl><dt><span class=""line"" id=""tln_0030-speech"">Mer.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0030"">Yet this my comfort, when your words are done, </span><span class=""line"" id=""tln_0031"">My woes end likewise with the euening Sonne.</span></p></dd></dl>"
32,4,2,"<dl><dt><span class=""line"" id=""tln_0032-speech"">Duk.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0032"">Well Siracusian; say in briefe the cause </span><span class=""line"" id=""tln_0033"">Why thou departedst from thy natiue home? </span><span class=""line"" id=""tln_0034"">And for what cause thou cam&rsquo;st to Ephesus.</span></p></dd></dl>"
35,63,63,"<dl><dt><span class=""line"" id=""tln_0035-speech"">Mer.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0035"">A heauier taske could not haue beene impos&rsquo;d, </span><span class=""line"" id=""tln_0036"">Then I to speake my griefes vnspeakeable: </span><span class=""line"" id=""tln_0037"">Yet that the world may witnesse that my end </span><span class=""line"" id=""tln_0038"">Was wrought by nature, not by vile offence, </span><span class=""line"" id=""tln_0039"">Ile vtter what my sorrow giues me leaue. </span><span class=""line"" id=""tln_0040"">In Syracusa was I borne, and wedde </span><span class=""line"" id=""tln_0041"">Vnto a woman, happy but for me, </span><span class=""line"" id=""tln_0042"">And by me; had not our hap beene bad: </span><span class=""line"" id=""tln_0043"">With her I liu&rsquo;d in ioy, our wealth increast </span><span class=""line"" id=""tln_0044"">By prosperous voyages I often made </span><span class=""line"" id=""tln_0045"">To Epidamium, till my factors death, </span><span class=""line"" id=""tln_0046"">And he great care of goods at randone left, </span><span class=""line"" id=""tln_0047"">Drew me from kinde embracements of my spouse; </span><span class=""line"" id=""tln_0048"">From whom my absence was not sixe moneths olde, </span><span class=""line"" id=""tln_0049"">Before her selfe (almost at fainting vnder </span><span class=""line"" id=""tln_0050"">The pleasing punishment that women beare) </span><span class=""line"" id=""tln_0051"">Had made prouision for her following me, </span><span class=""line"" id=""tln_0052"">And soone, and safe, arriued where I was: </span><span class=""line"" id=""tln_0053"">There had she not beene long, but she became </span><span class=""line"" id=""tln_0054"">A ioyfull mother of two goodly sonnes: </span><span class=""line"" id=""tln_0055"">And, which was strange, the one so like the other, </span><span class=""line"" id=""tln_0056"">As could not be distinguish&rsquo;d but by names. </span><span class=""line"" id=""tln_0057"">That very howre, and in the selfe-same Inne, </span><span class=""line"" id=""tln_0058"">A meane woman was deliuered </span><span class=""line"" id=""tln_0059"">Of such a burthen Male, twins both alike: </span><span class=""line"" id=""tln_0060"">Those, for their parents were exceeding poore, </span><span class=""line"" id=""tln_0061"">I bought, and brought vp to attend my sonnes. </span><span class=""line"" id=""tln_0062"">My wife, not meanely prowd of two such boyes, </span><span class=""line"" id=""tln_0063"">Made daily motions for our home returne: </span><span class=""line"" id=""tln_0064"">Vnwilling I agreed, alas, too soone wee came aboord. </span><span class=""line"" id=""tln_0065"">A league from Epidamium had we saild </span><span class=""line"" id=""tln_0066"">Before the alwaies winde-obeying deepe </span><span class=""line"" id=""tln_0067"">Gaue any Tragicke Instance of our harme: </span><span class=""line"" id=""tln_0068"">But longer did we not retaine much hope; </span><span class=""line"" id=""tln_0069"">For what obscured light the heauens did grant, </span><span class=""line"" id=""tln_0070"">Did but conuay vnto our fearefull mindes </span><span class=""line"" id=""tln_0071"">A doubtfull warrant of immediate death, </span><span class=""line"" id=""tln_0072"">Which though my selfe would gladly haue imbrac&rsquo;d, </span><span class=""line"" id=""tln_0073"">Yet the incessant weepings of my wife, </span><span class=""line"" id=""tln_0074"">Weeping before for what she saw must come, </span><span class=""line"" id=""tln_0075"">And pitteous playnings of the prettie babes </span><span class=""line"" id=""tln_0076"">That mourn&rsquo;d for fashion, ignorant what to feare, </span><span class=""line"" id=""tln_0077"">Forst me to seeke delayes for them and me, </span><span class=""line"" id=""tln_0078"">And this it was: (for other meanes was none) </span><span class=""line"" id=""tln_0079"">The Sailors sought for safety by our boate, </span><span class=""line"" id=""tln_0080"">And left the ship then sinking ripe to vs. </span><span class=""line"" id=""tln_0081"">My wife, more carefull for the latter borne, </span><span class=""line"" id=""tln_0082"">Had fastned him vnto a small spare Mast, </span><span class=""line"" id=""tln_0083"">Such as sea-faring men prouide for stormes: </span><span class=""line"" id=""tln_0084"">To him one of the other twins was bound, </span><span class=""line"" id=""tln_0085"">Whil&rsquo;st I had beene like heedfull of the other. </span><span class=""line"" id=""tln_0086"">The children thus dispos&rsquo;d, my wife and I, </span><span class=""line"" id=""tln_0087"">Fixing our eyes on whom our care was fixt, </span><span class=""line"" id=""tln_0088"">Fastned our selues at eyther end the mast, </span><span class=""line"" id=""tln_0089"">And floating straight, obedient to the streame, </span><span class=""line"" id=""tln_0090"">Was carried towards Corinth, as we thought. </span><span class=""line"" id=""tln_0091"">At length the sonne gazing vpon the earth, </span><span class=""line"" id=""tln_0092"">Disperst those vapours that offended vs, </span><span class=""line"" id=""tln_0093"">And by the benefit of his wished light </span><span class=""line"" id=""tln_0094"">The seas waxt calme, and we discouered </span><span class=""line"" id=""tln_0095"">Two shippes from farre, making amaine to vs: </span><span class=""line"" id=""tln_0096"">Of Corinth that, of Epidarus this, </span><span class=""line"" id=""tln_0097"">But ere they came, oh let me say no more, </span><span class=""line"" id=""tln_0098"">Gather the sequell by that went before.</span></p></dd></dl>"
99,15,1,"<dl><dt><span class=""line"" id=""tln_0099-speech"">Duk.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0099"">Nay forward old man, doe not breake off so, </span><span class=""line"" id=""tln_0100"">For we may pitty, though not pardon thee.</span></p></dd></dl>"
101,22,22,"<dl><dt><span class=""line"" id=""tln_0101-speech"">Merch.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0101"">Oh had the gods done so, I had not now </span><span class=""line"" id=""tln_0102"">Worthily tearm&rsquo;d them mercilesse to vs: </span><span class=""line"" id=""tln_0103"">For ere the ships could meet by twice fiue leagues, </span><span class=""line"" id=""tln_0104"">We were encountred by a mighty rocke, </span><span class=""line"" id=""tln_0105"">Which being violently borne vp, </span><span class=""line"" id=""tln_0106"">Our helpefull ship was splitted in the midst; </span><span class=""line"" id=""tln_0107"">So that in this vniust diuorce of vs, </span><span class=""line"" id=""tln_0108"">Fortune had left to both of vs alike, </span><span class=""line"" id=""tln_0109"">What to delight in, what to sorrow for, </span><span class=""line"" id=""tln_0110"">Her part, poore soule, seeming as burdened </span><span class=""line"" id=""tln_0111"">With lesser waight, but not with lesser woe, </span><span class=""line"" id=""tln_0112"">Was carried with more speed before the winde, </span><span class=""line"" id=""tln_0113"">And in our sight they three were taken vp </span><span class=""line"" id=""tln_0114"">By Fishermen of Corinth, as we thought. </span><span class=""line"" id=""tln_0115"">At length another ship had seiz&rsquo;d on vs, </span><span class=""line"" id=""tln_0116"">And knowing whom it was their hap to saue, </span><span class=""line"" id=""tln_0117"">Gaue healthfull welcome to their ship-wrackt guests, </span><span class=""line"" id=""tln_0118"">And would haue reft the Fishers of their prey, </span><span class=""line"" id=""tln_0119"">Had not their backe beene very slow of saile; </span><span class=""line"" id=""tln_0120"">And therefore homeward did they bend their course. </span><span class=""line"" id=""tln_0121"">Thus haue you heard me seuer&rsquo;d from my blisse, </span><span class=""line"" id=""tln_0122"">That by misfortunes was my life prolong&rsquo;d, </span><span class=""line"" id=""tln_0123"">To tell sad stories of my owne mishaps.</span></p></dd></dl>"
124,4,2,"<dl><dt><span class=""line"" id=""tln_0124-speech"">Duke.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0124"">And for the sake of them thou sorrowest for, </span><span class=""line"" id=""tln_0125"">Doe me the fauour to dilate at full, </span><span class=""line"" id=""tln_0126"">What haue befalne of them and they till now.</span></p></dd></dl>"
127,32,15,"<dl><dt><span class=""line"" id=""tln_0127-speech"">Merch.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0127"">My yongest boy, and yet my eldest care, </span><span class=""line"" id=""tln_0128"">At eighteene yeeres became inquisitiue </span><span class=""line"" id=""tln_0129"">After his brother; and importun&rsquo;d me </span><span class=""line"" id=""tln_0130"">That his attendant, so his case was like, </span><span class=""line"" id=""tln_0131"">Reft of his brother, but retain&rsquo;d his name, </span><span class=""line"" id=""tln_0132"">Might beare him company in the quest of him: </span><span class=""line"" id=""tln_0133"">Whom whil&rsquo;st I laboured of a loue to see, </span><span class=""line"" id=""tln_0134"">I hazarded the losse of whom I lou&rsquo;d. </span><span class=""line"" id=""tln_0135"">Fiue Sommers haue I spent in farthest Greece, </span><span class=""line"" id=""tln_0136"">Roming cleane through the bounds of Asia, </span><span class=""line"" id=""tln_0137"">And coasting homeward, came to Ephesus: </span><span class=""line"" id=""tln_0138"">Hopelesse to finde, yet loth to leaue vnsought </span><span class=""line"" id=""tln_0139"">Or that, or any place that harbours men: </span><span class=""line"" id=""tln_0140"">But heere must end the story of my life, </span><span class=""line"" id=""tln_0141"">And happy were I in my timelie death, </span><span class=""line"" id=""tln_0142"">Could all my trauells warrant me they liue.</span></p></dd></dl>"
143,32,15,"<dl><dt><span class=""line"" id=""tln_0143-speech"">Duke.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_0143"">Haplesse Egeon whom the fates haue markt </span><span class=""line"" id=""tln_0144"">To beare the extremitie of dire mishap: </span><span class=""line"" id=""tln_0145"">Now trust me, were it not against our Lawes, </span><span class=""line"" id=""tln_0146"">Against my Crowne, my oath, my dignity, </span><span class=""line"" id=""tln_0147"">Which Princes would they may not disanull, </span><span class=""line"" id=""tln_0148"">My soule should sue as aduocate for thee: </span><span class=""line"" id=""tln_0149"">But though thou art adiudged to the death, </span><span class=""line"" id=""tln_0150"">And passed sentence may not be recal&rsquo;d </span><span class=""line"" id=""tln_0151"">But to our honours great disparagement: </span><span class=""line"" id=""tln_0152"">Yet will I fauour thee in what I can; </span><span class=""line"" id=""tln_0153"">Therefore Marchant, Ile limit thee this day </span><span class=""line"" id=""tln_0154"">To seeke thy helpe by beneficiall helpe, </span><span class=""line"" id=""tln_0155"">Try all the friends thou hast in Ephesus, </span><span class=""line"" id=""tln_0156"">Beg thou, or borrow, to make vp the summe, </span><span class=""line"" id=""tln_0157"">And liue: if no, then thou art doom&rsquo;d to die: </span><span class=""line"" id=""tln_0158"">Iaylor, take him to thy custodie.</span></p></dd></dl>"
